"chant_id","incipit","volpiano","genre","mode","mode_name","finalis","composer","absolute_url","src_link"
"643187","Benedixisti*","1---kl--lk--lm--m--m---3---k--l--kh--k--l--k7---3","Introit verse","6T","","C","Anonymous","cantusdatabase.org/chant/643187","cantusdatabase.org/source/638308"
"638102","Ego cum meis sodalibus bene ","1---d--e---f---g--g---g--hg--fg--g---d--f---e--d---d---e7---f---g--g---hhg--f--h---fhf--g---k---j--h---k--l---j--k7--hgf---h--hg--fef--g---e---f--e---d--d---e---f--g--g---hf--hg--f-fG---g77---4","Dramatic element (used for items of liturgical drama that are not otherwise rubricked)","8","hypomixolydian","G","Anonymous","cantusdatabase.org/chant/638102","cantusdatabase.org/source/588308"
"674495","Asperges me domine hyssopo et ","1---gh--k--k---lM---n7--m--ml---m--l--jk---l---h--g--g---gh--k--lm---lml---k---kj--h---k7--jk---lkh--g--ghg--g---4","Antiphon","7","mixolydian","G","Anonymous","cantusdatabase.org/chant/674495","cantusdatabase.org/source/674494"
"675588","Summi largitor praemii spes qui ","1---c--d---df--c777--df---fe--d--e---g7---g---e---fe--d--ed7---c--d---c--d---dg7--fE--fe---deD--d--c7---c---d---e--fe--d7---ed--c--d--d77---3","Hymn","2","hypodorian","D","Anonymous","cantusdatabase.org/chant/675588","cantusdatabase.org/source/669030"
"675603","Veni creator spiritus mentes tuorum ","1---g--h---gf--g--hg7---k--lk--k---kJ7--g---h--k--lk---l7--m--l---k--lm---kj7--hg--kl---g--gh--k---jk777---h---gf--h--hjh---g7--fg--g---3---g---h7---3","Hymn","7","mixolydian","G","Anonymous","cantusdatabase.org/chant/675603","cantusdatabase.org/source/669030"
"560485","Spiritus domini super me evangelizare ","1---df--d--d---dc--d--f---f--e---d---f--fE--d--e--g--f---d--f--f--ef---g--fe---d---4---f--f--f--e--c--d---3","Antiphon","2","hypodorian","D","Anonymous","cantusdatabase.org/chant/560485","cantusdatabase.org/source/123756"
"682645","Alleluia Rex noster adveniet Christus ","1---cd--fg-fdf-ffd-fd--c--d-fghgh7--gjhgf-dfd-dc-cd-ff-ghfh-fgf---6------6---4---cd-fg---fdf-fedcfd--d---f--fghfh7-ghf--f--f---dfdc-cd-fgfedf-fdfdcd--d---h---g--f7-hhfhh-fgfg--d---d--dcfh--fh-ijgfh-dh-jgf-ghgh--jg---efg7--fdf-fd-fd---cd--d---cd-fg--fdf-ffdfdc--d7---3","Alleluia","1","dorian","D","Anonymous","cantusdatabase.org/chant/682645","cantusdatabase.org/source/682632"
"638445","Ad annuntiandum mane misericordiam tuam ","1---h---k--kl--l--l--lm---mlkj-khg-kgh-kk-lmlm-km-nlk-khg-hjhgh-lmnmnmlm--ml7---lnml-mnml--l--l--l--l--lm---mk-mlk-kh-kkhk-kkhk-lmlk-mlk-lg--g---k---k--k--k7--kl---lkjg-hkjg-hk-jkl-mkjh--hkhg-hk-kh-jkjh-kg-gf---fgh-kjhk-gh---kh-kl--lmkj-kl-ghk-mlkjh-jkh7---3","Gradual verse","2T","","A","Anonymous","cantusdatabase.org/chant/638445","cantusdatabase.org/source/638308"
"699517","Haurietis aquas in gaudio de ","f--k--kj7--hg---kl--k---l---jk--h--f---g---j--j--hg---h--g--f--f---","Antiphon","5","lydian","F","Anonymous","cantusdatabase.org/chant/699517","cantusdatabase.org/source/699507"
"638175","Ach ach fervens dulcedo absorbuit ","1---d---cb-ccd---d-ddfE--d---e--fg--g---f--f--fe--dc-cD---d---dca---cb7--cd--d---d---e--fg--g---g---gF--d---fed---dca--cd--fedc-d---4","Dramatic element (used for items of liturgical drama that are not otherwise rubricked)","2","hypodorian","D","Anonymous","cantusdatabase.org/chant/638175","cantusdatabase.org/source/588308"
"643323","Confiteantur domino misericordiae ejus et ","1---h--k--kl--l--lm---mlkj-khg-kgh-kk-lmlm-km-nlk-khg7-hjhgh-kl-mnm-nml--ml--l---lmnml-mnml--l--l--l--l--lm---mk-mlk-kh-kkhk-kkkh-kl-mlk-lh--h7---kk---k--k--k--k--kl---lkjg-hkjg-hk-jlm-kjh--hkhg-hk-kkh-kkjh-kg-gf---f--gh--hkjhk-gh---kh--kl--lmkj-kl-gh-kkmlkjh-kkh7---3","Gradual verse","2T","","A","Anonymous","cantusdatabase.org/chant/643323","cantusdatabase.org/source/638308"
"682636","Universi qui te exspectant non ","1---c--d--df-gfedf-ca-cdc--d---dc---df---gh--h--hg7-he-fgf---g---fe--cd--fg--efgf-gfe---d7--dfd--d-cd-ff-ghijh-fge-fd---4","Gradual","1","dorian","D","Anonymous","cantusdatabase.org/chant/682636","cantusdatabase.org/source/682632"
"672410","Ecce ancilla domini fiat mihi ","1---k--kj---hg--hjH--h---gh--g7--g---ge--g---fe--f---d--e--f---gh--h7---g--g---4---k--k--h--k--l--k---3","Antiphon","8","hypomixolydian","G","Anonymous","cantusdatabase.org/chant/672410","cantusdatabase.org/source/669030"
"638079","Vide quid illud sit quo ","1---efed-gfe--de---f---ddc--de---e---f---d---dC--d-ddfe--e---g--gh--h---hG--h--g--fe7--e---e---f--dc---d--de--e---e---ffD--c---d-ddfe--e7---4","Dramatic element (used for items of liturgical drama that are not otherwise rubricked)","4","hypophrygian","E","Anonymous","cantusdatabase.org/chant/638079","cantusdatabase.org/source/588308"
"672474","Simon Bar Jona tu vocaberis ","1---e7--f---gF--de--e---dh---gf--gh--gfd--fgf---e7--e---c---d--e--f--gf--de---e--e7---g--h--k---kj--hg---hk--hG--gf--gh---g--df-fe7--e---e--d---f--d---c--e--g--h7---ed-efgF--e---dhg--hj--h---h--g--h--gf--g7---df-ghg--fe--e---4---h--gh--h--h---3---h--g--h--jh--gf--e77---3","Antiphon","4","hypophrygian","E","Anonymous","cantusdatabase.org/chant/672474","cantusdatabase.org/source/669030"
"693877","Maria ergo unxit pedes Jesu ","1---k--k--l7---k--lnn---m--n---lkj--l---lm--k---k7---k--ln--n---mn--o--lm---m--m---mop---o--nm7---lm--m--lk---jkh-hg---k---ln--mo-nm--n---mn77--k--k---3","Antiphon","6T","","C","Anonymous","cantusdatabase.org/chant/693877","cantusdatabase.org/source/693577"
"664931","De caelo, deus humana petens, ","1g-g-k-k-h-k-k-h-g-j-g-h-k-k-h-k-k-h-g-j-j-j-h-j-l-j-k-h-h-g-h-k-k-k-h-k-k-k-h-h-g-h-e-g-k-k-h-g-h-j-g-e-g-h-g-g-f-g-h-g-e-f-f-f-f-d-e-d4","Prefatio (when written out and notated)","1","dorian","D","Anonymous","cantusdatabase.org/chant/664931","cantusdatabase.org/source/664930"
"699513","Ex quo facta est vox ","c---d---f--fg---g---g7---g--f--gh--hf--gh--h---g--g---g---dg--e--f---d--fdff---c--d--f--f---fE7---f--gh--g---h--g---f---gh--g--f---fe--dc---d--fe--d--d---","Antiphon","1","dorian","D","Anonymous","cantusdatabase.org/chant/699513","cantusdatabase.org/source/699507"
"699508","[Ecce veniet desideratus cunctis] gentibus ","6------6------6---g---g--g--e--g---h--gf--f---f--g---e--fe--dc---d--fe--d--d---","Antiphon","1","dorian","D","Anonymous","cantusdatabase.org/chant/699508","cantusdatabase.org/source/699507"
"672440","Ave Maria gratia plena dominus ","1---f--c---d--dhj--h---h7--g--f---gh--h---h--g--f---g--d---g--g7--h--g---f---ef---g--fe--d--d--d---gF--fe--d--d7---4---h--h--g--f--gh--g---3","Antiphon","1","dorian","D","Anonymous","cantusdatabase.org/chant/672440","cantusdatabase.org/source/669030"
"672625","Quadraginta dies et noctes aperti ","1---f--hk--k--kh---klkj-klkl7--lk---l---khk--lkhk-ghg-gf---f--hghj--h---hkhg-hjhg7---fg-hgfg--gf---f---f--hk---kjk-lk-lmlm--ml---k--k7--lm---lm--lm--kjh---hj-klkjh-klkl--lk---l--kj7--hg---h---k---khkh--hg---3---fhk---k--jh---h---hjk7-lkj-klkl--lk---lkjhg-hj--h--hkhg-hjhg---f77--fg-hgfg--gf---4","Responsory","5","lydian","F","Anonymous","cantusdatabase.org/chant/672625","cantusdatabase.org/source/672573"
"699159","Et ecce terraemotus factus est ","l---l--j---l--m--l--l---jk--l---k---g--g---k--k--k---k--k---h--k--j---h--h--h---g---h--h---k--j--g--g---","Antiphon","7","mixolydian","g","Anonymous","cantusdatabase.org/chant/699159","cantusdatabase.org/source/699152"
"682659","Tollite portas principes vestras et ","1---gkh--h--h---kh-jkhg-kg-hk--h---kh-klm7--kjh--hg-khg---gf-ghgh--hf-gh-jkhg-hk-lkk-hkh---kk7---k--kl--lj-kh--gh--h---kh-hkl-lm--khk---jkh--h--hkkk--kh77-hkl-klmk-kl-lk---kk---k--k--k-jl-mk-kj-lk-lkjh--hkhg7-kkjh-kg-gf---fgh-kjh-kgh---kh--kl--lk-lmlk7----4","Gradual","2T","","C","Anonymous","cantusdatabase.org/chant/682659","cantusdatabase.org/source/682632"
"666630","Et regna, benedicta inter mulieres, ","1k-k-l-k-l-m-k-k-h-k-k-h-g-k-k-h-g-k-k-h-f-g-f-h-g-h-g-j-h-j-g-h-k-k-k-h-g-f-h-k-k-k-k-h-g-f-4","Prefatio (when written out and notated)","5","lydian","F","Anonymous","cantusdatabase.org/chant/666630","cantusdatabase.org/source/666487"
"672296","De fumo lumen oritur et ","1---dc---f--g---fgh--fede---c--d--d---f---g7--h---h---g---kJ--jhg--h---k--l---k---ijhg7--hG---f--gfe--d---c--d---f---gh--gfe--d--cd77--d---c--efe--d--d---4---f--gh--h--h---3---h--h--g--f--gh--g7---3","Antiphon","1","dorian","D","Anonymous","cantusdatabase.org/chant/672296","cantusdatabase.org/source/669030"
"672368","Ave Maria gratia plena dominus ","1---g--gkj---k--lk7-lm--l---lm-nm--l--k---kl-mk-kj--gh-kg-hg-gf---fh-kl-nml7--l--lj-klkjh-jkjh---gh-jhgh--hg---4---l--lm-nl--k7---3","Invitatory antiphon","8","hypomixolydian","G","Anonymous","cantusdatabase.org/chant/672368","cantusdatabase.org/source/669030"
"643163","Facta est Judea sanctificatio ejus ","1---fghg--hg---g---jlk--hgjgfh--h---gl--lk-lmlkl--hgj--fgj--j--hjkjh-hgfg---gh-jk--kh---jkhg-jh--gh--h7---fh--kh-klkh-fhg-kkijg-hg--fg---fgH--h-gh-kjgh-ghh---3","Alleluia verse","2T","","G","Anonymous","cantusdatabase.org/chant/643163","cantusdatabase.org/source/638308"
"666952","Annis centum triginta qui tribus ","2jhghjjjkljjmlkjkjhjjhjlmnnnmnmlkjhklkjjmlkjkjhjjkmnmlkjhffhjjjjhklkjjkjhhjjlllkhj","Antiphon","2","hypodorian","D","Anonymous","cantusdatabase.org/chant/666952","cantusdatabase.org/source/666893"
"672776","Cum angelis et pueris fideles ","1---jk---l--k--j---k---lml--kl--l---j7--lm--l---k--kj--hj--h--g---g--g--g--h--g---h7--g---f--gh--h---h--kl--lkh---j---h--g--g7---4","Antiphon","7","mixolydian","G","Anonymous","cantusdatabase.org/chant/672776","cantusdatabase.org/source/672573"
"642126","Videns dominus flentes sorores Lazari ","1---k--k---k--k--k---k--j77---h--j--k---l--l--l---l---l--j--kj--h---k--k--kM--m---m---m7--l---l--l--h---jl---k--j--j---m--lk-lm--l---m--mo---m--m---k---ln--nml7--ml---l--l--j---lm--kj--h---k---kl--kj--g---k---kl--k--k---k--j--k7--lk--kj---hjh--gh-jkjhj--jh7---4","Communion","1T","","A","Anonymous","cantusdatabase.org/chant/642126","cantusdatabase.org/source/638308"
"672400","Nascetur nobis parvulus et vocabitur ","1---g--gf-fg--cd---fg7--fg-hg-kh-hg---jk-lk--kh-jkjhgh--hg---kj---kl77--lg-hkjh--gf-ghgh--hg---gh--dfg---gf-fed-ed-dC7--dc---fgh--gh-kg-hg-gf---g--hgh-klkjk--kj---ljk--hg7---gh-khj--hg---d--fg---gf-fed--fd-efed---cd7-edcd--dc---d---fE--fg--gfgfe-fgfg-hjhgh--hg---3---gk7-lkj-kl--lk---g--gh-kjhj--hg---gefed-gh--g---gh7--g--gh-kjh-jkjh---gh-jhgh--hg---4","Responsory","7","mixolydian","G","Anonymous","cantusdatabase.org/chant/672400","cantusdatabase.org/source/669030"
"588639","Rex noster promptus est suscipere ","1---e-eeg-hgfedc-dde---edfdc-d--ffe---g-ggj-khg-h--d---ffe---ej--h--j--j---j--l--mlkjhg-hhj---kH--g--hhG--e-eegfe7---ej--lm---mL--m--lkj---hG--h--kkj---ed---g---h--kj--hg---fed--e---3---jhkhg---j-jjl--kjhg-hhj---jl--m7---mlkjh-lkjhg--hJ--kj---khg--fed--e---efed-g-ggj-mlkjhg-hhj-khgfed-f-ggh-gH--fe---4","Responsory","3/4","","E","Anonymous","cantusdatabase.org/chant/588639","cantusdatabase.org/source/588309"
"644406","Quod dico vobis in tenebris ","1---g---h--kj---k--l---kH---k--k--kjh---j--kl-l---kH---j--kl--lk---k--hK---g--fg--g7---j---g---h---k--kj---hG--klm--l---k--jk--h--hg---hK--k---jlkk--kj7---4","Communion","4T","","H","Anonymous","cantusdatabase.org/chant/644406","cantusdatabase.org/source/638308"
"670587","Recordare nostri Anna cum Maria ","1--d-f-g-gf-gh-ff-gfedc-d-3-d-f-g-fed-d-f-g-ff--gh-fg-gfed-d-f-ghh-hgfg-g-g-fedcd-f-fhk-1-kjjhfg-h-ff-g-h-ghgfedc-dd-h-k-j-k-j-fgfdecdd-h-k-j-k-l-j-h-df-g-gf-ghd-f-f-df-g-gf-1 1--ghdf-f-fh-k-kjhgfgh-h-fh-k-kjgfgh-h-hk-l-lk-lmhkk-hk-l-lklhkk-kjghgfgfghd-defd-dd--4","Offertory","1","dorian","D","Anonymous","cantusdatabase.org/chant/670587","cantusdatabase.org/source/599679"
"701042","O singularis hostia Christe cunctorum ","g---hjhj--k--jh--g---hg--f--g---gj--l---k--jhj--l---k--jh--g---g---h--f--g---e---f--ed--c---6------6---g--h--fef--g---","Hymn","8","hypomixolydian","G","Anonymous","cantusdatabase.org/chant/701042","cantusdatabase.org/source/701002"
"638085","Tu nescis nec vides nec ","1---ed---g-ggk--j---l7---lkj--hg---hj---j--j---jkjhg-hG--fe---g-ggj---h---llkj-kjhg--fe--de--e7---4","Dramatic element (used for items of liturgical drama that are not otherwise rubricked)","3","phrygian","E","Anonymous","cantusdatabase.org/chant/638085","cantusdatabase.org/source/588308"
"638068","Nos sumus radices et vos ","1---fdc-dde---eg--h---hg--hg--fe---fE---dc7---d--dc---d--de---e--g-gH--h---kjk--h--h--g-ggh---h---hg---hG--fed---f7---gH--h---df-gghg--fe--e---4","Dramatic element (used for items of liturgical drama that are not otherwise rubricked)","4","hypophrygian","E","Anonymous","cantusdatabase.org/chant/638068","cantusdatabase.org/source/588308"
"271863","Patefactae sunt januae caeli Christi ","1---h--kh--jk--k---k---kk--k--k---kj--jlkj-kjh-jh---j--k7---l--k--j---hg--h--k---jlkk--khklkjk--jk---h---l---mn--m--ml-lk7---lm--lmlkjk--kj---j--jlml--k---jhg---hjhg-hjk--jhjkj---3---g7---hk--k--k---k--k--kj---h---hlkl-mlm--ml---ml-lk--klm-nlml--jlkk--kj77---4","Responsory","4T","","B","Anonymous","cantusdatabase.org/chant/271863","cantusdatabase.org/source/123723"
"666571","florebuntsancti requie caeli potiti ","1e-f-g-h-g-h-j-h-h-g-k-k-h-h-f-g-f-e-f-g-h-g-h-f-d-e-e-e-f-g-h-g-h-h-g-k-k-h-h-f-g-f-e-f-g-h-g-h-f-e-d-e-c-e-g-e-g-e-g-e-g-e-c-e-g-f-e-d-c-d-e-d-e-f-g-f-e-d-c-d-f-g-f-g-f-e-f5","Prefatio (when written out and notated)","6","hypolydian","F","Anonymous","cantusdatabase.org/chant/666571","cantusdatabase.org/source/664930"
"588498","Nunc aperuit nobis clausa porta ","1---kjh-jhg-klk-h-hhkjhg-k-llm-onmlk-lkjh-jjk7---k--klkh-jhgf-h-jjk--lkj--k---nm-lmk-llm-o-k-llm-nmlkij--klk---mml--k7---m-mmoon--lk-mno-ponmlk-hjk---klk---mml--k---m---no--mnmlk--lm-nmlk--l7---lml--jh--j-kklk--ml---lmlJ--k---mnmlkj--k---mno---pO--nm-nno--o---o-ppq-rqpon-o7-m-mmomlkij-k---k---klkJ--hg-h-jjkjkkj--k---k-llm-nmlkij--lkjh-hhk--lk7---4","Antiphon","6T","","C","Anonymous","cantusdatabase.org/chant/588498","cantusdatabase.org/source/588308"
"588586","Ave Maria o auctrix vitae ","1---km-ok-kjh-k-nmlkij--lkjh-jkjk---km-ok-kjh-k--nmlkj-lkjh--jkjk---khk-mlk-m-nno-ponmlk-lmk-hjk---k-m-nno-ponmlk--lnk-hjk-lk7---k-m-nno-po-rqpo-pnm-nno-po-onm-o-pmlk-k-llm-ok-nmlkij--lk---khg-k--mlk-m-nno-po-onmlk--lnl--hjk--lk-h-jK--lk---k-m-nno--om-nnonmlkj--l-lln-onlk-ml77---hijk---lnk-hjk-onmlk-hjkkJ--lk---khg-hg-hhk-lk--o-k-llm-nlk-kkJ--lk--hijk---k---km-onm--oq-rq-rqpo-pnm-o-k-llm-nlkl7-hjkkJ--lk---k-llm-okIjh-k--nmlkj--l-lln-onlkij--lk---hjk-lk---m-nno-po-mno---rpop---mno--km-nlk---khk--mlkj-lk--hijk---omo-pro-srqpo-pro--mno7--po---o-k-llm--o-k-llm-nlk--l-hjk---k---mnlk--lhijk--lk---khk--lk-ml-llnmlk-kkJ--lk--k---oml-o-po---o-ooq-rq-srqpo--pro-po-o--k-llm-nlk7--lk---k-llm---ml---nmlk-lk--hijk---k-llm--nmlkj-klm--ok-nm---nlk-lk--hijk---k--lm--nml--m---3---oknnm---opo-rqpo--k-llm-nlk--lijk7--lk---o-k-llm-nlk-lk--opo-rqpo-po-srqpo-pro-mno-opo-rqpo-o-ppq-rpo-pro-mno-ok-mnlk-lnk-lk--hijk---lk--k---4","Responsory","5T/6T","","C","Anonymous","cantusdatabase.org/chant/588586","cantusdatabase.org/source/588309"
"675631","Virginis proles opifexque matris virgo ","1---ghg--e--f7---ed--de---c--e--g7--f---f--e---efe7--e---f---ed--de7---c--e--g--h---hG--g7---k--h--k---jhg--gf7---h--k--j---h77--g--hjh---g--e--f7---g--g7---3","Hymn","8","hypomixolydian","G","Anonymous","cantusdatabase.org/chant/675631","cantusdatabase.org/source/669030"
"638147","Ego fides speculum vitae venerabiles ","1---e--d---fd--c---d--d--dc-dde---g-ggk--j7---l--l--l--k--j---k--hg--g---h--g--gfed---f-gghg-gH---fe---d---ef--gF--e7---g-ggk--j---llkj-kJ--hg---hg--fe--dE--e---4","Dramatic element (used for items of liturgical drama that are not otherwise rubricked)","3","phrygian","E","Anonymous","cantusdatabase.org/chant/638147","cantusdatabase.org/source/588308"
"638197","In mente altissimi o Satana ","1---d---ddC--a---cd--fed--c-cD--d---dh-j---g--f--ed---f--f---c--d---ddc--a--cd7--d---d---dH---h--l--khg--hij---ggF--f-g-ggh---hG--f---g--fed--cd--d---fed--cd--d7---acbc--d---f--e--d---edc--d---dh--h---llK---kJ--jh-g-ggh---hjH--gf---gfed--dca--cd7---fedc-d---f---g-gH--jhgf-g--h---f-gh-jhgf-gfg--h---hgfedc--d---dC---dca---ccB--cd--d7---fE--dc---g-hhjgfe---db--cd--d---f---fed--edc-d---dh--h---gF--d---fedcc--d7---ddc--a--cd---d7---4","Dramatic element (used for items of liturgical drama that are not otherwise rubricked)","2","hypodorian","D","Anonymous","cantusdatabase.org/chant/638197","cantusdatabase.org/source/588308"
"672366","Ecce virgo concipiet et pariet ","1---g--g---gkJ--h---gF--ghg--fg--g---g7---jk--l--kh---k--k--j---k---k--kl--j--g---h7--h---h--g---h--k--jh--g---4---g--h--k77--3---k--k--j--k--h--g---3","Antiphon","8","hypomixolydian","G","Anonymous","cantusdatabase.org/chant/672366","cantusdatabase.org/source/669030"
"675609","Magnae dies laetitiae nobis illuxit ","1---d--hjhg---f--ed7---c--f--g--h---h--k7---l--kjh--g---k--jhj--h7---k--l---kJ---hgh7--f---g--gfg--h7---d--fgh---g--fed77--c---fE--ede--d7---3","Hymn","1","dorian","D","Anonymous","cantusdatabase.org/chant/675609","cantusdatabase.org/source/669030"
"638188","Ego omnes vias meas malas ","1---dh--h---gF--d---f--e---d--c---d--ca---c--d7---f--edc--d---d---dh--g--f---fed--cd---d---ed---dc--c---c-cD--d---dh---gF--g--fed7---ddC--a---ccB--cd---d---4","Dramatic element (used for items of liturgical drama that are not otherwise rubricked)","2","hypodorian","D","Anonymous","cantusdatabase.org/chant/638188","cantusdatabase.org/source/588308"
"688210","Kyrie eleison Christe eleison Kyrie ","1---h--h--hg-ghgf---3","Kyrie","2T","","A","Anonymous","cantusdatabase.org/chant/688210","cantusdatabase.org/source/676377"
"588580","Cum vox sanguinis Ursulae et ","1---hm---ml---o--nml--m---m--ml--mlkjh---k---l--k7--lM--m---h--k---mlK--jh---k--l---kijh--ge---gh--kjh-j7---g--h--h---hm--nm--l---m--no--nmll-m--k---lm--m---m---ml--ml--kjh7---k-kL--l-m---k---lkl--m---mnm--l--k-lkjh-jhg--h---hg--e--gh--h---khj---g7--h---3---hm--m---lk--jh---kjh-j---g--h---hgfe---g-gH--h7---kJ--hged--gh-jjh--h---3---hm---lk--j--g---jkh--h---hm--m--m--l--k7---l-lM--m---m---o--p--p--p---oon---o--lm---mL--mn--lk---ij---klk--jh7---3---hm-l-mmnm---lK---lk---l--nm--l--m---m---o--p--p---poN--nm---lK7--l-llnmlk--ijhg-h---3---hm--lK--h---kj--hg---j--l--m--m--m---hg--kjhh-j--h7---g---hk--l---k---k--lm-nmlkk--lkjh-jhg--h---hg--f--g--h--h7---kjh-jH--gh---hm--llk--l--m--m---l--m--no--n--nnml-m---m---lk---l--k--l-lM7---mnm--m---h-hhk-lkjh--g-h---h--g--e--gh--h---g--hk---lK--jh---gfe--g-gH7--h---3---h---hG---k--jH--g--h---h---ggE---g--h---khj--h77---hm--m---l--kjH--k---lK---h--g--f---g--h---k--jh--l---kjh---gg7--h---3---hm---nm--lkl--m---3---l---m--n--o--o--n---nnmll--m---mml--k7---l--m---m---o---p--p---p--onm--lk---lm--m--m---mn---o--nm---lkij7--kG--h---hm--lk--l--m---pp--l---m--no--nm--lk---l-lM--m7---mn---lk---ij--klk--jh---3---hm--m---lk--jh---h---k--j--h7--g---fg--h---f---g--h-hg---k--j--h---gge--g--h--h7---hm---llK---l--m---l---m--no---n--nm--lk---l--nm--l--m---nlkk7---ijh--g-h---g---h---j--k---llk--jh--g--h---hm---ll--m7---m--o--p--p--p---po--nm---lk--l--m---mn---lk--lk--ijh--g---j7--klk---llK--jh--h---hm---lk--ijh--l-lM--m---l--m---no--n--nml--m---mn7---lk--j--gh---g--h---ij--k--l---kj---kJ--h---3---hm---llK--h7--g---k--lm---m--m---l---m--no---n--nml--m---nlkk---jH--h---j-jjll-kkl--kj7--h---kjhgf-kk-j-jjlklkjhgf-f-fG--ijh7---4","Hymn","1T/3T","","A","Anonymous","cantusdatabase.org/chant/588580","cantusdatabase.org/source/588308"
"672621","Dixit dominus ad Adam de ","1---gh--g---gh--hg--g---gh-jk-lkjh---hl7-klm--l---jk---lm--m---ml---lmlkjh-kl-mlkjh-hg7--hg---gh---h--g--gh-jhg-hgf---g--gh-jk--kjhj--hg---g77---gh-hj--klkjh-lklm--l---3---lm---l---mn-onm-nml7-mnmn--ml---lm--lmlkjh--hlkj--j---j--jkj---jh7--jk-lkjh-jkjh--gh-jhgh--hg---4","Responsory","7","mixolydian","G","Anonymous","cantusdatabase.org/chant/672621","cantusdatabase.org/source/672573"